fid,fclass,name,ref,maxspeed,bridge,len,bridgeLen
2,trunk,Prithvi Rajmarga,H04,0,0,550.9865832,0
6,trunk,Prithvi Highway,H04,0,0,375.5090327,0
7,trunk,Seti Bridge,H04,0,1,188.4997196,188.4997196
8,trunk,Prithvi Highway,H04,0,0,4754.758386,0
9,trunk,Prithvi Highway,H04,0,1,81.91484336,81.91484336
10,trunk,Trishuli Bridge,H04,0,1,134.6279822,134.6279822
11,trunk,Prithvi Rajmarg,H04,0,0,2198.209931,0
12,trunk,Prithvi Highway,H04,0,0,12083.08514,0
13,trunk,Prithvi Highway,H04,0,0,2644.387771,0
14,trunk,Prithvi Rajmarg,H04,0,0,6449.394973,0
15,trunk,Prithvi Rajmarg,H04,0,0,4828.943494,0
19,trunk,Prithvi Highway,H04,0,0,1741.224261,0
20,trunk,Prithvi Highway,H04,0,0,75.86248569,0
24,trunk,Charaudi Khola,H04,0,1,59.77249225,59.77249225
25,trunk,Chiraundi Khola Bridge,H04,0,1,26.41834227,26.41834227
26,trunk,Dahki khola,H04,0,1,35.96013172,35.96013172
27,trunk,Galaundi khola,H04,0,1,26.02451882,26.02451882
28,trunk,Gardo Khola,H04,0,1,31.1390687,31.1390687
29,trunk,Prithvi Rajmarga,H04,0,1,35.51157282,35.51157282
30,trunk,Malekhu Khola,H04,0,1,66.87160697,66.87160697
31,trunk,Nagdi khola,H04,0,1,47.41510114,47.41510114
32,trunk,Pokhare khola,H04,0,1,22.56796012,22.56796012
33,trunk,Prithvi Rajmarg,H04,0,0,923.470336,0
34,trunk,Prithvi Rajmarg,H04,0,0,2945.584221,0
35,trunk,Prithvi Rajmarg,H04,0,0,4271.032561,0
36,trunk,Barbang Khola Bridge,H04,0,1,27.9764791,27.9764791
37,trunk,Khatauti Khola Bridge,H04,0,1,54.62558696,54.62558696
38,trunk,Mowa Khola Bridge,H04,0,1,27.71602814,27.71602814
39,trunk,Belkhu Khola Bridge,H04,0,1,110.1028121,110.1028121
40,trunk,Hugdi Khola Bridge,H04,0,1,41.00915704,41.00915704
41,trunk,Prithvi Rajmarg,H04,0,0,3504.770176,0
42,trunk,Prithvi Rajmarg,H04,0,0,2021.212742,0
43,trunk,Prithvi Rajmarg,H04,0,0,2200.013982,0
44,trunk,Prithvi Rajmarg,H04,0,0,2309.961056,0
45,trunk,Prithvi Rajmarg,H04,0,0,3173.876037,0
46,trunk,Prithvi Rajmarg,H04,0,0,4209.660571,0
47,trunk,Prithvi Rajmarg,H04,0,0,6960.282385,0
48,trunk,Soti khola,H04,0,1,36.39029703,36.39029703
53,trunk,Tribhuvan Rajpath,H02,30,0,2358.453318,0
54,trunk,Prithvi Rajmarg,H04,60,0,12218.66849,0
55,trunk,Tribhuvan Rajpath,H02,60,0,44.70115207,0
56,trunk,Tribhuvan Rajpath,H02,60,1,45.44368295,45.44368295
57,trunk,Tribhuvan Rajpath,H02,60,0,193.8043445,0
59,trunk,Naya Khola Bridge,H04,0,1,14.20756366,14.20756366
60,trunk,Tribhuvan Rajpath,H02,60,0,1127.027351,0
61,trunk,Prithvi Highway,H04,0,0,1425.145805,0
62,trunk,Madi Bridge,H04,0,1,357.6611937,357.6611937
63,trunk,Prithvi Highway,H04,0,0,3600.428372,0
64,trunk,Prithvi Highway,H04,0,1,44.64447352,44.64447352
65,trunk,Prithvi Highway,H04,0,1,55.58398333,55.58398333
66,trunk,Prithvi Highway,H04,0,0,2925.725052,0
67,trunk,Prithvi Highway,H04,0,0,3983.577065,0
68,trunk,Prithvi Highway,H04,0,1,25.28205757,25.28205757
69,trunk,Prithvi Highway,H04,0,1,26.9334522,26.9334522
70,trunk,Prithvi Highway,H04,0,0,9275.084861,0
71,trunk,Tribhuvan Rajpath,H02,40,0,2116.695423,0
72,trunk,Tribhuvan Rajpath,H02,60,0,845.596097,0
73,trunk,Tribhuvan Rajpath,H02,40,0,317.3860131,0
74,trunk,Tribhuvan Rajpath,H02,60,0,1156.674724,0
75,trunk,Tribhuvan Rajpath,H02,60,0,918.7413369,0
96,trunk,Tribhuvan Rajpath,H02,60,1,23.3240701,23.3240701
98,trunk,Tribhuvan Rajpath,H02,40,0,1352.910943,0
99,trunk,Prithvi Rajmarg,H04,0,0,4168.862401,0
100,trunk,Prithvi Rajmarg,H04,40,0,10837.49193,0
101,trunk,Prithvi Rajmarga,H04,60,0,159.6686761,0
109,trunk,Prithvi Highway,H04,0,0,2866.543499,0
110,trunk,Prithvi Highway,H04,0,1,58.88422325,58.88422325
111,trunk,Prithvi Highway,H04,0,0,4401.106256,0
112,trunk,Prithvi Highway,H04,0,1,43.36517527,43.36517527
113,trunk,Prithvi Highway,H04,0,0,1171.660744,0
114,trunk,Prithvi Highway,H04,0,1,28.86099284,28.86099284
115,trunk,Prithvi Highway,H04,0,0,2842.312858,0
118,trunk,Prithvi Highway,H04,0,0,1186.005041,0
119,trunk,Tribhuvan Rajpath,H02,40,1,9.739961289,9.739961289
120,trunk,Tribhuvan Rajpath,H02,40,0,5819.181935,0
124,trunk,Prithvi Highway,H04,0,0,6952.136085,0
131,trunk,Prithvi Rajmarg,H04,0,0,1333.746363,0
132,trunk,Prithvi Rajmarga,H04,0,1,17.75642683,17.75642683
133,trunk,Prithvi Highway,H04,0,1,26.14427483,26.14427483
134,trunk,Prithvi Highway,H04,0,0,8558.808891,0
135,trunk,Prithvi Highway,H04,0,0,987.7149586,0
136,trunk,Prithvi Highway,H04,0,1,48.82733049,48.82733049
137,trunk,Tribhuvan Rajpath,H02,40,0,3327.05074,0
138,trunk,Tribhuvan Rajpath,H02,40,1,17.73077942,17.73077942
139,trunk,Prithvi Highway,H04,0,0,297.1007287,0
142,trunk,Prithvi Rajmarg,H04,0,0,706.2363531,0
143,trunk,Prithvi Rajmarg,H04,0,0,1004.941225,0
144,trunk,Prithvi Rajmarga,H04,0,1,63.68042724,63.68042724
145,trunk,Prithvi Rajmarga,H04,0,1,55.34640573,55.34640573
146,trunk,Prithvi Rajmarga,H04,0,1,39.23735239,39.23735239
147,trunk,Prithvi Rajmarg,H04,0,0,5216.752821,0
148,trunk,Prithvi Highway,H04,0,1,43.45794896,43.45794896
149,trunk,Prithvi Highway,H04,0,1,24.92616813,24.92616813
150,trunk,Prithvi Highway,H04,0,0,1599.106395,0
151,trunk,Prithvi Highway,H04,0,0,755.8170804,0
152,trunk,Prithvi Highway,H04,0,0,591.205599,0
153,trunk,Prithvi Rajmarga,H04,0,0,128.1529595,0
154,trunk,Prithvi Highway,H04,0,0,380.0699344,0
155,trunk,Prithvi Highway,H04,0,0,890.9357566,0
156,trunk,Prithvi Highway,H04,0,0,3497.794477,0
157,trunk,,H04,0,1,65.83083292,65.83083292
158,trunk,Prithvi Highway,H04,0,0,30.60634215,0
159,trunk,Prithivi Highway,H04,0,0,197.0817017,0
161,trunk,Tribhuvan Rajpath,H02,40,0,266.3891936,0
162,trunk,Tribhuvan Rajpath,H02,40,0,1710.190756,0
163,trunk,Prithvi Highway,H04,0,0,5590.440417,0
164,trunk,Prithvi Highway,H04,0,0,213.5066749,0
165,trunk,Prithvi Highway,H04,0,0,125.1962138,0
166,trunk,Prithvi Highway,H04,0,0,638.8933552,0
167,trunk,Prithvi Highway,H04,0,0,138.3677311,0
168,trunk,Prithvi Highway,H04,0,0,9.977420798,0
169,trunk,Prithvi Highway,H04,0,0,188.2820942,0
170,trunk,Prithvi Highway,H04,0,0,298.9871179,0
171,trunk,Prithvi Highway,H04,0,0,386.6124129,0
172,trunk,Prithvi Highway,H04,0,0,678.6194224,0
